CustomerID,3MonthInteractions,DaysSinceLastContact,AvgSentiment,PrimarySentiment,NPS_Group,UX_score,Persona,ChurnProbability,ChurnRisk
48512639566,0.0,826,0.2333333333333333,Neutral,Passive,3.5555555555555554,Neutral Observers,1.0,High
263772208636,0.0,158,0.009892086330935251,Neutral,Passive,0.056399991659890326,Neutral Observers,1.0,High
263772211313,0.0,1202,0.0,Neutral,Passive,53.0,Lapsed Customers,1.0,High
263772211037,0.0,165,0.07253412544901906,Neutral,Passive,0.116625133499466,Neutral Observers,1.0,High
263775707641,0.0,411,0.0,Neutral,Passive,31.0,Neutral Observers,1.0,High
263775709409,0.0,1403,0.0,Neutral,Passive,0.07231404958677685,Lapsed Customers,1.0,High
263772210309,0.0,648,0.0,Neutral,Passive,6.720000000000001,Neutral Observers,1.0,High
263775710163,0.0,718,0.0,Neutral,Passive,0.36734693877551017,Neutral Observers,1.0,High
263772210058,0.0,636,0.7,Positive,Promoter,87.0,Positive But Inactive,1.0,High
263775710403,0.0,1113,0.06999999999999999,Neutral,Passive,5.16,Lapsed Customers,1.0,High
263772209572,0.0,764,0.0,Neutral,Passive,68.0,Neutral Observers,1.0,High
263772209024,0.0,1068,0.0,Neutral,Passive,4.8,Neutral Observers,1.0,High
263772209001,0.0,490,0.0,Neutral,Passive,11.25,Neutral Observers,1.0,High
263775723073,0.0,893,0.35,Neutral,Passive,8.5,Neutral Observers,1.0,High
263775739922,0.0,455,0.12999999999999998,Neutral,Passive,10.510204081632653,Neutral Observers,1.0,High
263772206040,0.0,976,0.051253071253071256,Neutral,Passive,0.3718836565096953,Neutral Observers,1.0,High
263772205719,0.0,1018,0.0,Neutral,Passive,0.3777777777777778,Neutral Observers,1.0,High
263772203930,0.0,1114,0.20833333333333334,Positive,Passive,472.0,At-Risk Positive,1.0,High
263772203385,0.0,576,0.0,Neutral,Passive,5.88,Neutral Observers,1.0,High
263775728371,0.0,1197,0.0,Neutral,Passive,10.533333333333333,Lapsed Customers,1.0,High
263772202671,0.0,1124,0.0,Neutral,Passive,24.5,Lapsed Customers,1.0,High
263775734300,0.0,753,-0.019444444444444448,Neutral,Passive,10.3125,Neutral Observers,1.0,High
263772201816,0.0,943,-0.3125,Negative,Detractor,28.5,Neutral Observers,1.0,High
263775734919,0.0,1559,0.0,Neutral,Passive,5.8125,Lapsed Customers,1.0,High
263772201667,0.0,797,0.024047619047619043,Neutral,Passive,0.23545285882948222,Neutral Observers,1.0,High
263775735713,0.0,1076,0.02008196721311475,Neutral,Passive,0.17633136094674556,Lapsed Customers,1.0,High
263772211547,0.0,889,0.0,Neutral,Passive,0.38888888888888884,Neutral Observers,1.0,High
263775706844,0.0,556,0.0,Neutral,Passive,0.21000000000000002,Neutral Observers,1.0,High
263772212068,0.0,456,0.13999999999999999,Neutral,Passive,4.2,Neutral Observers,1.0,High
263772212197,0.0,874,0.0,Neutral,Passive,27.06666666666667,Neutral Observers,1.0,High
